Stint,Compound,RecLap,RecProb,ActualLap,Diff,NextCompound,PredCompound,CompMatch
1,MEDIUM,25.0,0.842,28.0,3.0,HARD,HARD,True
2,HARD,49.0,0.812,51.0,2.0,MEDIUM,HARD,False
3,MEDIUM,,,,,,,
